PROCEDURE CODE,LONG DESCRIPTION,SHORT DESCRIPTION,CODE,CODE1,
8931,Dental examination,Dental examination,8931,89310,
8932,Esophageal manometry,Esophageal manometry,8932,89320,
8933,Digital examination of enterostomy stoma,Digital enterostomy exam,8933,89330,
8934,Digital examination of rectum,Digital rectal exam,8934,89340,
8935,Transillumination of nasal sinuses,Nasal sinus transillumin,8935,89350,
8936,Manual examination of breast,Manual exam of breast,8936,89360,
8937,Vital capacity determination,Vital capacity determin,8937,89370,
8938,Other nonoperative respiratory measurements,Respiratory measure NEC,8938,89380,
8939,Other nonoperative measurements and examinations,Nonoperative exams NEC,8939,89390,
8941,Cardiovascular stress test using treadmill,Treadmill stress test,8941,89410,
8942,Masters' two-step stress test,Masters' 2-step test,8942,89420,
8943,Cardiovascular stress test using bicycle ergometer,Bicycle ergometer test,8943,89430,
8944,Other cardiovascular stress test,Cardiac stress test NEC,8944,89440,
8945,Artificial pacemaker rate check,Pacemaker rate check,8945,89450,
8946,Artificial pacemaker artifact wave form check,Pacemaker wave form chck,8946,89460,
8947,Artificial pacemaker electrode impedance check,Pacemaker impedance chck,8947,89470,
8948,Artificial pacemaker voltage or amperage threshold check,Pacemaker volt threshold,8948,89480,
8949,Automatic implantable cardioverter/defibrillator (AICD) check,AICD check,8949,89490,
8950,Ambulatory cardiac monitoring,Ambu cardiac monitoring,8950,89500,
8951,Rhythm electrocardiogram,Rhythm electrocardiogram,8951,89510,
8952,Electrocardiogram,Electrocardiogram,8952,89520,
8953,Vectorcardiogram (with ECG),Vectorcardiogram,8953,89530,
8954,Electrographic monitoring,Electrocardiograph monit,8954,89540,
8955,Phonocardiogram with ECG lead,Phonocardiogram,8955,89550,
8956,Carotid pulse tracing with ECG lead,Carotid pulse tracing,8956,89560,
8957,Apexcardiogram (with ECG lead),Apexcardiogram,8957,89570,
8958,Plethysmogram,Plethysmogram,8958,89580,
8959,Other nonoperative cardiac and vascular measurements,Nonop cardiac/vasc exam,8959,89590,
8960,Continuous intra-arterial blood gas monitoring,Cnt intraart bld gas mon,8960,89600,
8961,Systemic arterial pressure monitoring,Arterial pressure monit,8961,89610,
8962,Central venous pressure monitoring,Cvp monitoring,8962,89620,
8963,Pulmonary artery pressure monitoring,Pulmon art press monitor,8963,89630,
8964,Pulmonary artery wedge monitoring,Pulmon art wedge monitor,8964,89640,
8965,Measurement of systemic arterial blood gases,Arterial bld gas measure,8965,89650,
8966,Measurement of mixed venous blood gases,Mix venous bld gas meas,8966,89660,
8967,Monitoring of cardiac output by oxygen consumption technique,Oxygen consumption monit,8967,89670,
8968,Monitoring of cardiac output by other technique,Oth cardiac mon output,8968,89680,
8969,Monitoring of coronary blood flow,Coronary bld flow monit,8969,89690,
897,General physical examination,General physical exam,897,8970,
898,Autopsy,Autopsy,898,8980,
9001,"Microscopic examination of specimen from nervous system and of spinal fluid, bacterial smear",Bact smear-nervous syst,9001,90010,
9002,"Microscopic examination of specimen from nervous system and of spinal fluid, culture",Culture-nervous syst,9002,90020,
9003,"Microscopic examination of specimen from nervous system and of spinal fluid, culture and sensitivity",C & s-nervous syst,9003,90030,
9004,"Microscopic examination of specimen from nervous system and of spinal fluid, parasitology",Parasitology-nerv syst,9004,90040,
9005,"Microscopic examination of specimen from nervous system and of spinal fluid, toxicology",Toxicology-nervous syst,9005,90050,
9006,"Microscopic examination of specimen from nervous system and of spinal fluid, cell block and Papanicolaou smear",Cell blk/pap-nervous sys,9006,90060,
9009,"Microscopic examination of specimen from nervous system and of spinal fluid, other microscopic examination",Micro exam-nervous NEC,9009,90090,
9011,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, bacterial smear",Bact smear-endocrine,9011,90110,
9012,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture",Culture-endocrine,9012,90120,
9013,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, culture and sensitivity",C & s-endocrine,9013,90130,
9014,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, parasitology",Parasitology-endocrine,9014,90140,
9015,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, toxicology",Toxicology-endocrine,9015,90150,
9016,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, cell block and Papanicolaou smear",Cell block/pap-endocrine,9016,90160,
9019,"Microscopic examination of specimen from endocrine gland, not elsewhere classified, other microscopic examination",Micro exam-endocrine NEC,9019,90190,
9021,"Microscopic examination of specimen from eye, bacterial smear",Bact smear-eye,9021,90210,
9022,"Microscopic examination of specimen from eye, culture",Culture-eye,9022,90220,
9023,"Microscopic examination of specimen from eye, culture and sensitivity",C & s-eye,9023,90230,
9024,"Microscopic examination of specimen from eye, parasitology",Parasitology-eye,9024,90240,
9025,"Microscopic examination of specimen from eye, toxicology",Toxicology-eye,9025,90250,
9026,"Microscopic examination of specimen from eye, cell block and Papanicolaou smear",Cell block/pap-eye,9026,90260,
9029,"Microscopic examination of specimen from eye, other microscopic examination",Micro exam-eye NEC,9029,90290,
9031,"Microscopic examination of specimen from ear, nose, throat, and larynx, bacterial smear",Bact smear-ent/larynx,9031,90310,
9032,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture",Culture-ent/larynx,9032,90320,
9033,"Microscopic examination of specimen from ear, nose, throat, and larynx, culture and sensitivity",C & s-ent/larynx,9033,90330,
9034,"Microscopic examination of specimen from ear, nose, throat, and larynx, parasitology",Parasitology-ent/larynx,9034,90340,
9035,"Microscopic examination of specimen from ear, nose, throat, and larynx, toxicology",Toxicology-ent/larynx,9035,90350,
9036,"Microscopic examination of specimen from ear, nose, throat, and larynx, cell block and Papanicolaou smear",Cell block/pap-ent/laryn,9036,90360,
9039,"Microscopic examination of specimen from ear, nose, throat, and larynx, other microscopic examination",Micro exam-ent/laryn NEC,9039,90390,
9041,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, bacterial smear",Bact smear-lower resp,9041,90410,
9042,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture",Culture-lower resp,9042,90420,
9043,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, culture and sensitivity",C & s-lower resp,9043,90430,
9044,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, parasitology",Parasitology-lower resp,9044,90440,
9045,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, toxicology",Toxicology-lower resp,9045,90450,
9046,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, cell block and Papanicolaou smear",Cell block/pap-lowr resp,9046,90460,
9049,"Microscopic examination of specimen from trachea, bronchus, pleura, lung, and other thoracic specimen, and of sputum, other microscopic examination",Micro exam-lowr resp NEC,9049,90490,
9051,"Microscopic examination of blood, bacterial smear",Bact smear-blood,9051,90510,
9052,"Microscopic examination of blood, culture",Culture-blood,9052,90520,
9053,"Microscopic examination of blood, culture and sensitivity",C & s-blood,9053,90530,
9054,"Microscopic examination of blood, parasitology",Parasitology-blood,9054,90540,
9055,"Microscopic examination of blood, toxicology",Toxicology-blood,9055,90550,
9056,"Microscopic examination of blood, cell block and Papanicolaou smear",Cell block/pap-blood,9056,90560,
9059,"Microscopic examination of blood, other microscopic examination",Micro exam-blood NEC,9059,90590,
9061,"Microscopic examination of specimen from spleen and of bone marrow, bacterial smear",Bact smear-spleen/marrow,9061,90610,
9062,"Microscopic examination of specimen from spleen and of bone marrow, culture",Culture-spleen/marrow,9062,90620,
9063,"Microscopic examination of specimen from spleen and of bone marrow, culture and sensitivity",C & s-spleen/marrow,9063,90630,
9064,"Microscopic examination of specimen from spleen and of bone marrow, parasitology",Parasitol-spleen/marrow,9064,90640,
9065,"Microscopic examination of specimen from spleen and of bone marrow, toxicology",Toxicology-spleen/marrow,9065,90650,
9066,"Microscopic examination of specimen from spleen and of bone marrow, cell block and Papanicolaou smear",Cell blk/pap-spleen/marr,9066,90660,
9069,"Microscopic examination of specimen from spleen and of bone marrow, other microscopic examination",Micro exam-spln/marr NEC,9069,90690,
9071,"Microscopic examination of specimen from lymph node and of lymph, bacterial smear",Bact smear-lymph system,9071,90710,
9072,"Microscopic examination of specimen from lymph node and of lymph, culture",Culture-lymph system,9072,90720,
9073,"Microscopic examination of specimen from lymph node and of lymph, culture and sensitivity",C & s-lymph system,9073,90730,
9074,"Microscopic examination of specimen from lymph node and of lymph, parasitology",Parasitology-lymph sys,9074,90740,
9075,"Microscopic examination of specimen from lymph node and of lymph, toxicology",Toxicology-lymph system,9075,90750,
9076,"Microscopic examination of specimen from lymph node and of lymph, cell block and Papanicolaou smear",Cell blk/pap-lymph sys,9076,90760,
9079,"Microscopic examination of specimen from lymph node and of lymph, other microscopic examination",Micro exam-lymph sys NEC,9079,90790,
9081,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, bacterial smear",Bact smear-upper GI,9081,90810,
9082,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture",Culture-upper GI,9082,90820,
9083,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, culture and sensitivity",C & s-upper GI,9083,90830,
9084,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, parasitology",Parasitology-upper GI,9084,90840,
9085,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, toxicology",Toxicology-upper GI,9085,90850,
9086,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, cell block and Papanicolaou smear",Cell blk/pap-upper GI,9086,90860,
9089,"Microscopic examination of specimen from upper gastrointestinal tract and of vomitus, other microscopic examination",Micro exam-upper GI NEC,9089,90890,
9091,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, bacterial smear",Bact smear-lower GI,9091,90910,
9092,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture",Culture-lower GI,9092,90920,
9093,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, culture and sensitivity",C & s-lower GI,9093,90930,
9094,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, parasitology",Parasitology-lower GI,9094,90940,
9095,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, toxicology",Toxicology-lower GI,9095,90950,
9096,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, cell block and Papanicolaou smear",Cell blk/pap-lower GI,9096,90960,
9099,"Microscopic examination of specimen from lower gastrointestinal tract and of stool, other microscopic examination",Micro exam-lower GI NEC,9099,90990,
9101,"Microscopic examination of specimen from liver, biliary tract, and pancreas, bacterial smear",Bact smear-bili/pancreas,9101,91010,
9102,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture",Culture-bili/pancreas,9102,91020,
9103,"Microscopic examination of specimen from liver, biliary tract, and pancreas, culture and sensitivity",C & s-bili/pancreas,9103,91030,
9104,"Microscopic examination of specimen from liver, biliary tract, and pancreas, parasitology",Parasitology-bili/pancr,9104,91040,
9105,"Microscopic examination of specimen from liver, biliary tract, and pancreas, toxicology",Toxicology-bili/pancreas,9105,91050,
9106,"Microscopic examination of specimen from liver, biliary tract, and pancreas, cell block and Papanicolaou smear",Cell blk/pap-bili/pancre,9106,91060,
9109,"Microscopic examination of specimen from liver, biliary tract, and pancreas, other microscopic examination",Micro exam-bili/panc NEC,9109,91090,
9111,"Microscopic examination of peritoneal and retroperitoneal specimen, bacterial smear",Bact smear-peritoneum,9111,91110,
9112,"Microscopic examination of peritoneal and retroperitoneal specimen, culture",Culture-peritoneum,9112,91120,
9113,"Microscopic examination of peritoneal and retroperitoneal specimen, culture and sensitivity",C & s-peritoneum,9113,91130,
9114,"Microscopic examination of peritoneal and retroperitoneal specimen, parasitology",Parasitology-peritoneum,9114,91140,
9115,"Microscopic examination of peritoneal and retroperitoneal specimen, toxicology",Toxicology-peritoneum,9115,91150,
9116,"Microscopic examination of peritoneal and retroperitoneal specimen, cell block and Papanicolaou smear",Cell blk/pap-peritoneum,9116,91160,
9119,"Microscopic examination of peritoneal and retroperitoneal specimen, other microscopic examination",Micro exam-periton NEC,9119,91190,
9121,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, bacterial smear",Bact smear-upper urinary,9121,91210,
9122,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture",Culture-upper urinary,9122,91220,
9123,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, culture and sensitivity",C & s-upper urinary,9123,91230,
9124,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, parasitology",Parasitology-upper urin,9124,91240,
9125,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, toxicology",Toxicology-upper urinary,9125,91250,
9126,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, cell block and Papanicolaou smear",Cell blk/pap-upper urin,9126,91260,
9129,"Microscopic examination of specimen from kidney, ureter, perirenal and periureteral tissue, other microscopic examination",Micro exam-uppr urin NEC,9129,91290,
9131,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, bacterial smear",Bact smear-lower urinary,9131,91310,
9132,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture",Culture-lower urinary,9132,91320,
9133,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, culture and sensitivity",C & s-lower urinary,9133,91330,
9134,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, parasitology",Parasitlolgy-lower urin,9134,91340,
9135,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, toxicology",Toxicology-lower urinary,9135,91350,
9136,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, cell block and Papanicolaou smear",Cell blk/pap-lower urin,9136,91360,
9139,"Microscopic examination of specimen from bladder, urethra, prostate, seminal vesicle, perivesical tissue, and of urine and semen, other microscopic examination",Micro exam-low urin NEC,9139,91390,
9141,"Microscopic examination of specimen from female genital tract, bacterial smear",Bact smear-female genit,9141,91410,
9142,"Microscopic examination of specimen from female genital tract, culture",Culture-female genital,9142,91420,
9143,"Microscopic examination of specimen from female genital tract, culture and sensitivity",C & s-female genital,9143,91430,
9144,"Microscopic examination of specimen from female genital tract, parasitology",Parasitology-female gen,9144,91440,
9145,"Microscopic examination of specimen from female genital tract, toxicology",Toxicology-female genit,9145,91450,
9146,"Microscopic examination of specimen from female genital tract, cell block and Papanicolaou smear",Cell blk/pap-female gen,9146,91460,
9149,"Microscopic examination of specimen from female genital tract, other microscopic examination",Micro exam-femal gen NEC,9149,91490,
9151,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, bacterial smear",Bact smear-musculoskel,9151,91510,
9152,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture",Culture-musculoskeletal,9152,91520,
9153,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, culture and sensitivity",C & s-musculoskeletal,9153,91530,
9154,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, parasitology",Parasitology-musculoskel,9154,91540,
9155,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, toxicology",Toxicology-musculoskel,9155,91550,
9156,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, cell block and Papanicolaou smear",Cell blk/pap-musculoskel,9156,91560,
9159,"Microscopic examination of specimen from musculoskeletal system and of joint fluid, other microscopic examination",Micro exam-musculosk NEC,9159,91590,
9161,"Microscopic examination of specimen from skin and other integument, bacterial smear",Bact smear-integument,9161,91610,
9162,"Microscopic examination of specimen from skin and other integument, culture",Culture-integument,9162,91620,
9163,"Microscopic examination of specimen from skin and other integument, culture and sensitivity",C & s-integument,9163,91630,
9164,"Microscopic examination of specimen from skin and other integument, parasitology",Parasitology-integument,9164,91640,
9165,"Microscopic examination of specimen from skin and other integument, toxicology",Toxicology-integument,9165,91650,
9166,"Microscopic examination of specimen from skin and other integument, cell block and Papanicolaou smear",Cell blk/pap-integument,9166,91660,
9169,"Microscopic examination of specimen from skin and other integument, other microscopic examination",Micro exam-integumen NEC,9169,91690,
9171,"Microscopic examination of specimen from operative wound, bacterial smear",Bact smear-op wound,9171,91710,
9172,"Microscopic examination of specimen from operative wound, culture",Culture-op wound,9172,91720,
9173,"Microscopic examination of specimen from operative wound, culture and sensitivity",C & s-op wound,9173,91730,
9174,"Microscopic examination of specimen from operative wound, parasitology",Parasitology-op wound,9174,91740,
9175,"Microscopic examination of specimen from operative wound, toxicology",Toxicology-op wound,9175,91750,
9176,"Microscopic examination of specimen from operative wound, cell block and Papanicolaou smear",Cell blk/pap-op wound,9176,91760,
9179,"Microscopic examination of specimen from operative wound, other microscopic examination",Micro exam-op wound NEC,9179,91790,
9181,"Microscopic examination of specimen from other site, bacterial smear",Bact smear NEC,9181,91810,
9182,"Microscopic examination of specimen from other site, culture",Culture NEC,9182,91820,
9183,"Microscopic examination of specimen from other site, culture and sensitivity",C & s NEC,9183,91830,
9184,"Microscopic examination of specimen from other site, parasitology",Parasitology NEC,9184,91840,
9185,"Microscopic examination of specimen from other site, toxicology",Toxicology NEC,9185,91850,
9186,"Microscopic examination of specimen from other site, cell block and Papanicolaou smear",Cell blk/pap NEC,9186,91860,
9189,"Microscopic examination of specimen from other site, other microscopic examination",Micro exam NEC,9189,91890,
9191,"Microscopic examination of specimen from unspecified site, bacterial smear",Bact smear NOS,9191,91910,
9192,"Microscopic examination of specimen from unspecified site, culture",Culture NOS,9192,91920,
9193,"Microscopic examination of specimen from unspecified site, culture and sensitivity",C & s NOS,9193,91930,
9194,"Microscopic examination of specimen from unspecified site, parasitology",Parasitology NOS,9194,91940,
9195,"Microscopic examination of specimen from unspecified site, toxicology",Toxicology NOS,9195,91950,
9196,"Microscopic examination of specimen from unspecified site, cell block and Papanicolaou smear",Cell blk/pap NOS,9196,91960,
9199,"Microscopic examination of specimen from unspecified site, other microscopic examination",Micro exam NOS,9199,91990,
9201,Thyroid scan and radioisotope function studies,Thyroid scan/isotop func,9201,92010,
9202,Liver scan and radioisotope function study,Liver scan/isotope funct,9202,92020,
9203,Renal scan and radioisotope function study,Renal scan/isotope funct,9203,92030,
9204,Gastrointestinal scan and radioisotope function study,GI scan & isotope funct,9204,92040,
9205,Cardiovascular and hematopoietic scan and radioisotope function study,C-vasc scan/isotop funct,9205,92050,
9209,Other radioisotope function studies,Other isotope function,9209,92090,
9211,Cerebral scan,Cerebral scan,9211,92110,
9212,Scan of other sites of head,Head scan NEC,9212,92120,
9213,Parathyroid scan,Parathyroid scan,9213,92130,
9214,Bone scan,Bone scan,9214,92140,
9215,Pulmonary scan,Pulmonary scan,9215,92150,
9216,Scan of lymphatic system,Lymphatic system scan,9216,92160,
9217,Placental scan,Placental scan,9217,92170,
9218,Total body scan,Total body scan,9218,92180,
9219,Scan of other sites,Scan of other sites,9219,92190,
9220,Infusion of liquid brachytherapy radioisotope,Inf liquid brachy isotop,9220,92200,
9221,Superficial radiation,Superficial radiation,9221,92210,
9222,Orthovoltage radiation,Orthovoltage radiation,9222,92220,
9223,Radioisotopic teleradiotherapy,Radioisot teleradiother,9223,92230,
9224,Teleradiotherapy using photons,Teleradio using photons,9224,92240,
9225,Teleradiotherapy using electrons,Electron teleradiotherap,9225,92250,
9226,Teleradiotherapy of other particulate radiation,Particul teleradioth NEC,9226,92260,
9227,Implantation or insertion of radioactive elements,Radioactive elem implant,9227,92270,
9228,Injection or instillation of radioisotopes,Isotope inject/instill,9228,92280,
9229,Other radiotherapeutic procedure,Radiotherapeut proc NEC,9229,92290,
9230,"Stereotactic radiosurgery, not otherwise specified",Stereo radiosurgery NOS,9230,92300,
9231,Single source photon radiosurgery,Sing source radiosurgery,9231,92310,
9232,Multi-source photon radiosurgery,Multisource radiosurgery,9232,92320,
9233,Particulate radiosurgery,Particulate radiosurgery,9233,92330,
9239,"Stereotactic radiosurgery, not elsewhere classified",Stereo radiosurgery NEC,9239,92390,
9241,Intra-operative electron radiation therapy,Intra-op electron rad rx,9241,92410,
9301,Functional evaluation,Functional pt evaluation,9301,93010,
9302,Orthotic evaluation,Orthotic evaluation,9302,93020,
9303,Prosthetic evaluation,Prosthetic evaluation,9303,93030,
9304,Manual testing of muscle function,Manual muscle funct test,9304,93040,
9305,Range of motion testing,Range of motion testing,9305,93050,
9306,Measurement of limb length,Limb length measurement,9306,93060,
9307,Body measurement,Body measurement,9307,93070,
9308,Electromyography,Electromyography,9308,93080,
9309,Other diagnostic physical therapy procedure,Other dx pt procedure,9309,93090,
9311,Assisting exercise,Assisting exercise,9311,93110,
9312,Other active musculoskeletal exercise,Activ musculosk exer NEC,9312,93120,
9313,Resistive exercise,Resistive exercise,9313,93130,
9314,Training in joint movements,Joint movement training,9314,93140,
9315,Mobilization of spine,Mobilization of spine,9315,93150,
9316,Mobilization of other joints,Other joint mobilization,9316,93160,
9317,Other passive musculoskeletal exercise,Pass musculosk exer NEC,9317,93170,
9318,Breathing exercise,Pt breathing exercise,9318,93180,
9319,"Exercise, not elsewhere classified",Pt exercise NEC,9319,93190,
9321,Manual and mechanical traction,Manual & mechan traction,9321,93210,
9322,Ambulation and gait training,Ambulat & gait training,9322,93220,
9323,Fitting of orthotic device,Orthotic device fitting,9323,93230,
9324,Training in use of prosthetic or orthotic device,Prosthet/orthot training,9324,93240,
9325,Forced extension of limb,Forced limb extension,9325,93250,
9326,Manual rupture of joint adhesions,Manual rupt joint adhes,9326,93260,
9327,Stretching of muscle or tendon,Musc or tend stretching,9327,93270,
9328,Stretching of fascia,Stretching of fascia,9328,93280,
9329,Other forcible correction of musculoskeletal deformity,Forcib correct defor NEC,9329,93290,
9331,Assisted exercise in pool,Assisted pool exercise,9331,93310,
9332,Whirlpool treatment,Whirlpool treatment,9332,93320,
9333,Other hydrotherapy,Other hydrotherapy,9333,93330,
9334,Diathermy,Diathermy,9334,93340,
9335,Other heat therapy,Other heat therapy,9335,93350,
9336,Cardiac retraining,Cardiac retraining,9336,93360,
9337,Prenatal training,Prenatal training,9337,93370,
9338,Combined physical therapy without mention of the components,Combined pt NOS,9338,93380,
9339,Other physical therapy,Physical therapy NEC,9339,93390,
9341,Spinal traction using skull device,Spine tract w skull dev,9341,93410,
9342,Other spinal traction,Other spinal traction,9342,93420,
9343,Intermittent skeletal traction,Intermitt skel traction,9343,93430,
9344,Other skeletal traction,Other skeletal traction,9344,93440,
9345,Thomas' splint traction,Thomas' splint traction,9345,93450,
9346,Other skin traction of limbs,Limb skin traction NEC,9346,93460,
9351,Application of plaster jacket,Plaster jacket applicat,9351,93510,
9352,Application of neck support,Neck support application,9352,93520,
9353,Application of other cast,Other cast application,9353,93530,
9354,Application of splint,Application of splint,9354,93540,
9355,Dental wiring,Dental wiring,9355,93550,
9356,Application of pressure dressing,Pressure dressing applic,9356,93560,
9357,Application of other wound dressing,Dressing of wound NEC,9357,93570,
9358,Application of pressure trousers,Pressure trouser applica,9358,93580,
9359,"Other immobilization, pressure, and attention to wound",Immobiliz/wound attn NEC,9359,93590,
9361,Osteopathic manipulative treatment for general mobilization,Omt for gen'l mobilizat,9361,93610,
9362,"Osteopathic manipulative treatment using high-velocity, low-amplitude forces","Omt with hi-vel,lo-ampli",9362,93620,
9363,"Osteopathic manipulative treatment using low- velocity, high-amplitude forces","Omt with lo-vel,hi-ampli",9363,93630,
9364,"Osteopathic manipulative treatment using isotonic, isometric forces","Omt with isoton,isometri",9364,93640,
9365,Osteopathic manipulative treatment using indirect forces,Omt with indirect forces,9365,93650,
9366,Osteopathic manipulative treatment to move tissue fluids,Omt to move tissue fluid,9366,93660,
9367,Other specified osteopathic manipulative treatment,Osteopath manipulat NEC,9367,93670,
9371,Dyslexia training,Dyslexia training,9371,93710,
9372,Dysphasia training,Dysphasia training,9372,93720,
9373,Esophageal speech training,Esophag speech training,9373,93730,
9374,Speech defect training,Speech defect training,9374,93740,
9375,Other speech training and therapy,Other speech therapy,9375,93750,
9376,Training in use of lead dog for the blind,Training in lead dog use,9376,93760,
9377,Training in braille or moon,Braille or moon training,9377,93770,
9378,Other rehabilitation for the blind,Rehab for the blind NEC,9378,93780,
9381,Recreation therapy,Recreational therapy,9381,93810,
9382,Educational therapy,Educational therapy,9382,93820,
9383,Occupational therapy,Occupational therapy,9383,93830,
9384,Music therapy,Music therapy,9384,93840,
9385,Vocational rehabilitation,Vocational rehabilitat,9385,93850,
9389,"Rehabilitation, not elsewhere classified",Rehabilitation NEC,9389,93890,
9390,Non-invasive mechanical ventilation,Non-invasive mech vent,9390,93900,
9391,Intermittent positive pressure breathing [IPPB],Ippb,9391,93910,
9393,Nonmechanical methods of resuscitation,Nonmechan resuscitation,9393,93930,
9394,Respiratory medication administered by nebulizer,Nebulizer therapy,9394,93940,
9395,Hyperbaric oxygenation,Hyperbaric oxygenation,9395,93950,
9396,Other oxygen enrichment,Oxygen enrichment NEC,9396,93960,
9397,Decompression chamber,Decompression chamber,9397,93970,
9398,Other control of atmospheric pressure and composition,Atmos press/compos contr,9398,93980,
9399,Other respiratory procedures,Other resp procedures,9399,93990,
9401,Administration of intelligence test,Intelligence test admin,9401,94010,
9402,Administration of psychologic test,Psychologic test adminis,9402,94020,
9403,Character analysis,Character analysis,9403,94030,
9408,Other psychologic evaluation and testing,Psychol eval & test NEC,9408,94080,
9409,"Psychologic mental status determination, not otherwise specified",Psychol mental stat NOS,9409,94090,
9411,Psychiatric mental status determination,Psychiat mental determin,9411,94110,
9412,"Routine psychiatric visit, not otherwise specified",Routine psychiat visit,9412,94120,
9413,Psychiatric commitment evaluation,Psychia commitment eval,9413,94130,
9419,Other psychiatric interview and evaluation,Psychia interv/eval NEC,9419,94190,
9421,Narcoanalysis,Narcoanalysis,9421,94210,
9422,Lithium therapy,Lithium therapy,9422,94220,
9423,Neuroleptic therapy,Neuroleptic therapy,9423,94230,
9424,Chemical shock therapy,Chemical shock therapy,9424,94240,
9425,Other psychiatric drug therapy,Psychiat drug therap NEC,9425,94250,
9426,Subconvulsive electroshock therapy,Subconvulsive est,9426,94260,
9427,Other electroshock therapy,Electroshock therapy NEC,9427,94270,
9429,Other psychiatric somatotherapy,Psychiatr somatother NEC,9429,94290,
9431,Psychoanalysis,Psychoanalysis,9431,94310,
9432,Hypnotherapy,Hypnotherapy,9432,94320,
9433,Behavior therapy,Behavior therapy,9433,94330,
9434,Individual therapy for psychosexual dysfunction,Ind therap psychsex dysf,9434,94340,
9435,Crisis intervention,Crisis intervention,9435,94350,
9436,Play psychotherapy,Play psychotherapy,9436,94360,
9437,Exploratory verbal psychotherapy,Explor verbal psychother,9437,94370,
9438,Supportive verbal psychotherapy,Suppor verbal psychother,9438,94380,
9439,Other individual psychotherapy,Individ psychotherap NEC,9439,94390,
9441,Group therapy for psychosexual dysfunction,Grp therap psychsex dysf,9441,94410,
9442,Family therapy,Family therapy,9442,94420,
9443,Psychodrama,Psychodrama,9443,94430,
9444,Other group therapy,Other group therapy,9444,94440,
9445,Drug addiction counseling,Drug addict counselling,9445,94450,
9446,Alcoholism counseling,Alcoholism counselling,9446,94460,
9449,Other counseling,Other counselling,9449,94490,
9451,Referral for psychotherapy,Referral for psychother,9451,94510,
9452,Referral for psychiatric aftercare,Referral psych aftercare,9452,94520,
9453,Referral for alcoholism rehabilitation,Referral alcohol rehab,9453,94530,
9454,Referral for drug addiction rehabilitation,Referral for drug rehab,9454,94540,
9455,Referral for vocational rehabilitation,Referral vocation rehab,9455,94550,
9459,Referral for other psychologic rehabilitation,Referral psych rehab NEC,9459,94590,
9461,Alcohol rehabilitation,Alcohol rehabilitation,9461,94610,
9462,Alcohol detoxification,Alcohol detoxification,9462,94620,
9463,Alcohol rehabilitation and detoxification,Alcohol rehab/detox,9463,94630,
